title,level,content_problem,content_input,content_output,gpt_answer
최소 버튼 조작 방법 찾기,1,"3개의 시간조절용 버튼 A B C가 달린 전자레인지가 있다. 각 버튼마다 일정한 시간이 지정되어 있어 해당 버튼을 한번 누를 때마다 그 시간이 동작시간에 더해진다. 버튼 A, B, C에 지정된 시간은 각각 5분, 1분, 10초이다.
냉동음식마다 전자레인지로 요리해야할 시간 T가 초단위로 표시되어 있다. 우리는 A, B, C 3개의 버튼을 적절히 눌러서 그 시간의 합이 정확히 T초가 되도록 해야 한다. 단 버튼 A, B, C를 누른 횟수의 합은 항상 최소가 되어야 한다. 이것을 최소버튼 조작이라고 한다.
만일 요리시간이 100초라고 하면(T=100) B를 1번, C는 4번 누르면 된다. 이와 다르게 C를 10번 눌러도 100초가 되지만 이 경우 10번은 최소 횟수가 아니기 때문이 답이 될 수 없다. 이 경우 B 1번, C 4번, 총 5번이 최소버튼 조작이다. 그리고 T=234와 같이 3개의 버튼으로 시간을 정확히 맞출 수 없는 경우도 있다.
여러분은 주어진 요리시간 T초를 맞추기 위한 최소버튼 조작 방법을 구하는 프로그램을 작성해야 한다."," 첫 번째 줄에는 요리시간 T(초)가 정수로 주어져 있으며 그 범위는 1 ≤ T ≤ 10,000 이다.", 여러분은 T초를 위한 최소버튼 조작의 A B C 횟수를 첫 줄에 차례대로 출력해야 한다. 각각의 횟수 사이에는 빈 칸을 둔다. 해당 버튼을 누르지 않는 경우에는 숫자 0을 출력해야한다. 만일 제시된 3개의 버튼으로 T초를 맞출 수 없으면 음수 -1을 첫 줄에 출력해야 한다.,"def find_min_buttons(T):
    # A, B, C 버튼에 대한 시간 설정
    times = [300, 60, 10]  # 각 버튼의 시간을 초로 변환하여 리스트에 저장

    # A, B, C 버튼을 누르는 횟수를 0으로 초기화
    counts = [0, 0, 0]

    # T를 맞추기 위한 최소버튼 조작 방법 찾기
    for i in range(len(times)):
        if T >= times[i]:
            counts[i] = T // times[i]
            T %= times[i]

    # T를 정확히 맞출 수 없는 경우 -1 반환
    if T != 0:
        return -1

    # 버튼 누르는 횟수 출력
    return counts[0], counts[1], counts[2]


# 입력 받기
T = int(input())

# 최소버튼 조작 방법 찾기
result = find_min_buttons(T)

# 결과 출력
if result == -1:
    print(-1)
else:
    print(result[0], result[1], result[2])"
주사위 게임,1,"창영이와 상덕이는 게임을 하고 있다.
게임을 시작하는 시점에서, 두 사람의 점수는 모두 100점이다.
게임은 여섯 면 주사위를 사용하며, 라운드로 진행된다. 매 라운드마다, 각 사람은 주사위를 던진다. 낮은 숫자가 나온 사람은 상대편 주사위에 나온 숫자만큼 점수를 잃게 된다. 두 사람의 주사위가 같은 숫자가 나온 경우에는 아무도 점수를 잃지 않는다.
게임이 끝난 이후에 두 사람의 점수를 구하는 프로그램을 작성하시오."," 첫째 줄에 라운드의 수 n (1 ≤ n ≤ 15)가 주어진다. 다음 n개 줄에는 두 정수가 주어진다. 첫 번째 정수는 그 라운드에서 창영이의 주사위에 나타난 숫자, 두 번째 정수는 상덕이의 주사위에 나타난 숫자이다. 두 정수는 항상 1보다 크거나 같고, 6보다 작거나 같다."," 첫째 줄에 게임이 끝난 이후에 창영이의 점수, 둘째 줄에는 상덕이의 점수를 출력한다.","def calculate_scores(rounds):
    chang_score = 100  # 창영이의 초기 점수
    sang_score = 100  # 상덕이의 초기 점수

    for round in rounds:
        chang_dice, sang_dice = round

        if chang_dice > sang_dice:
            sang_score -= chang_dice
        elif chang_dice < sang_dice:
            chang_score -= sang_dice

    return chang_score, sang_score


# 입력 받기
n = int(input())
rounds = []
for _ in range(n):
    chang_dice, sang_dice = map(int, input().split())
    rounds.append((chang_dice, sang_dice))

# 점수 계산
result = calculate_scores(rounds)

# 결과 출력
print(result[0])
print(result[1])"
대소비교,2,"두 양의 정수가 주어졌을 때, 첫 번째 수가 두 번째 수보다 큰지 구하는 프로그램을 작성하시오.","입력은 여러 개의 테스트 케이스로 이루어져 있다. 각 테스트 케이스는 한 줄로 이루어져 있으며, 두 정수가 주어진다. 두 수는 백만보다 작거나 같은 양의 정수이다. 입력의 마지막 줄에는 0이 두 개 주어진다.","각 테스트 케이스마다, 첫 번째 수가 두 번째 수보다 크면 Yes를, 아니면 No를 한 줄에 하나씩 출력한다.","while True:
    a, b = map(int, input().split())

    if a == 0 and b == 0:
        break

    if a > b:
        print(""Yes"")
    else:
        print(""No"")"
그룹 단어 체커,2,"그룹 단어란 단어에 존재하는 모든 문자에 대해서, 각 문자가 연속해서 나타나는 경우만을 말한다. 예를 들면, ccazzzzbb는 c, a, z, b가 모두 연속해서 나타나고, kin도 k, i, n이 연속해서 나타나기 때문에 그룹 단어이지만, aabbbccb는 b가 떨어져서 나타나기 때문에 그룹 단어가 아니다.
단어 N개를 입력으로 받아 그룹 단어의 개수를 출력하는 프로그램을 작성하시오.","첫째 줄에 단어의 개수 N이 들어온다. N은 100보다 작거나 같은 자연수이다. 둘째 줄부터 N개의 줄에 단어가 들어온다. 단어는 알파벳 소문자로만 되어있고 중복되지 않으며, 길이는 최대 100이다.",첫째 줄에 그룹 단어의 개수를 출력한다.,"N = int(input())

count = 0
for _ in range(N):
    word = input()
    char_set = set()
    prev_char = ''
    is_group_word = True
    for char in word:
        if char != prev_char:  # 이전 문자와 다른 경우
            if char in char_set:  # 이미 나온 적 있는 문자인 경우
                is_group_word = False
                break
            char_set.add(char)
        prev_char = char
    if is_group_word:
        count += 1

print(count)"
접미사 배열,2,"접미사 배열은 문자열 S의 모든 접미사를 사전순으로 정렬해 놓은 배열이다.
baekjoon의 접미사는 baekjoon, aekjoon, ekjoon, kjoon, joon, oon, on, n 으로 총 8가지가 있고, 이를 사전순으로 정렬하면, aekjoon, baekjoon, ekjoon, joon, kjoon, n, on, oon이 된다.
문자열 S가 주어졌을 때, 모든 접미사를 사전순으로 정렬한 다음 출력하는 프로그램을 작성하시오.","첫째 줄에 문자열 S가 주어진다. S는 알파벳 소문자로만 이루어져 있고, 길이는 1,000보다 작거나 같다",첫째 줄부터 S의 접미사를 사전순으로 한 줄에 하나씩 출력한다.,"S = input()
suffixes = [S[i:] for i in range(len(S))]  # S의 모든 접미사 생성
suffixes.sort()  # 접미사 정렬

for suffix in suffixes:
    print(suffix)"
날짜 계산,2,"준규가 사는 나라는 우리가 사용하는 연도와 다른 방식을 이용한다. 준규가 사는 나라에서는 수 3개를 이용해서 연도를 나타낸다. 각각의 수는 지구, 태양, 그리고 달을 나타낸다.
지구를 나타내는 수를 E, 태양을 나타내는 수를 S, 달을 나타내는 수를 M이라고 했을 때, 이 세 수는 서로 다른 범위를 가진다. (1 ≤ E ≤ 15, 1 ≤ S ≤ 28, 1 ≤ M ≤ 19)
우리가 알고있는 1년은 준규가 살고있는 나라에서는 1 1 1로 나타낼 수 있다. 1년이 지날 때마다, 세 수는 모두 1씩 증가한다. 만약, 어떤 수가 범위를 넘어가는 경우에는 1이 된다.
예를 들어, 15년은 15 15 15로 나타낼 수 있다. 하지만, 1년이 지나서 16년이 되면 16 16 16이 아니라 1 16 16이 된다. 이유는 1 ≤ E ≤ 15 라서 범위를 넘어가기 때문이다.
E, S, M이 주어졌고, 1년이 준규가 사는 나라에서 1 1 1일때, 준규가 사는 나라에서 E S M이 우리가 알고 있는 연도로 몇 년인지 구하는 프로그램을 작성하시오.","첫째 줄에 세 수 E, S, M이 주어진다. 문제에 나와있는 범위를 지키는 입력만 주어진다.","첫째 줄에 E S M으로 표시되는 가장 빠른 연도를 출력한다. 1 1 1은 항상 1이기 때문에, 정답이 음수가 나오는 경우는 없다.","E, S, M = map(int, input().split())

year = 1
while True:
    if year % 15 == E % 15 and year % 28 == S % 28 and year % 19 == M % 19:
        break
    year += 1

print(year)"
면의 개수 세기,2,"수학자가 구를 깎아서 볼록다면체를 만들었다. 이 수학자는 임의의 볼록다면체에 대해 (꼭짓점의 수) - (모서리의 수) + (면의 수) = 2가 성립한다는 것을 알고 있다. 그래서 구를 깎는 게 취미인 이 사람은 꼭짓점, 모서리와 면의 수를 기록할 때 꼭짓점과 모서리의 수만 세고 면의 수는 세지 않는다.","첫 번째 줄에 1 이상 100 이하의 자연수 T가 주어진다.
다음 T개의 줄에 4 이상 100 이하의 자연수 V와 E가 공백을 사이에 두고 주어진다. V와 E는 각각 꼭짓점의 개수와 모서리의 개수이다.",각 V와 E에 대해 볼록다면체의 면의 수를 한 줄에 하나씩 출력한다.,"T = int(input())

for _ in range(T):
    V, E = map(int, input().split())
    F = 2 - V + E
    print(F)"
대칭 차집합,2,"자연수를 원소로 갖는 공집합이 아닌 두 집합 A와 B가 있다. 이때, 두 집합의 대칭 차집합의 원소의 개수를 출력하는 프로그램을 작성하시오. 두 집합 A와 B가 있을 때, (A-B)와 (B-A)의 합집합을 A와 B의 대칭 차집합이라고 한다.
예를 들어, A = { 1, 2, 4 } 이고, B = { 2, 3, 4, 5, 6 } 라고 할 때,  A-B = { 1 } 이고, B-A = { 3, 5, 6 } 이므로, 대칭 차집합의 원소의 개수는 1 + 3 = 4개이다.","첫째 줄에 집합 A의 원소의 개수와 집합 B의 원소의 개수가 빈 칸을 사이에 두고 주어진다. 둘째 줄에는 집합 A의 모든 원소가, 셋째 줄에는 집합 B의 모든 원소가 빈 칸을 사이에 두고 각각 주어진다. 각 집합의 원소의 개수는 200,000을 넘지 않으며, 모든 원소의 값은 100,000,000을 넘지 않는다.",첫째 줄에 대칭 차집합의 원소의 개수를 출력한다.,"N, M = map(int, input().split())
set_A = set(map(int, input().split()))
set_B = set(map(int, input().split()))

diff1 = len(set_A - set_B)  # (A-B)의 원소 개수
diff2 = len(set_B - set_A)  # (B-A)의 원소 개수

symmetric_diff = diff1 + diff2  # 대칭 차집합의 원소 개수

print(symmetric_diff)"
얻을 수 있는 점수의 최대값 구하기,2,"웅찬이는 과제가 많다. 하루에 한 과제를 끝낼 수 있는데, 과제마다 마감일이 있으므로 모든 과제를 끝내지 못할 수도 있다. 과제마다 끝냈을 때 얻을 수 있는 점수가 있는데, 마감일이 지난 과제는 점수를 받을 수 없다.
웅찬이는 가장 점수를 많이 받을 수 있도록 과제를 수행하고 싶다. 웅찬이를 도와 얻을 수 있는 점수의 최댓값을 구하시오.","첫 줄에 정수 N (1 ≤ N ≤ 1,000)이 주어진다.
다음 줄부터 N개의 줄에는 각각 두 정수 d (1 ≤ d ≤ 1,000)와 w (1 ≤ w ≤ 100)가 주어진다. d는 과제 마감일까지 남은 일수를 의미하며, w는 과제의 점수를 의미한다.",얻을 수 있는 점수의 최댓값을 출력한다.,"N = int(input())  # 과제 개수 입력

assignments = []  # 과제 정보를 담을 리스트 초기화

# 과제 정보 입력 받기
for _ in range(N):
    d, w = map(int, input().split())
    assignments.append((d, w))

# 마감일을 기준으로 내림차순으로 정렬
assignments.sort(reverse=True)

# 마감일이 가장 늦은 날부터 시작하여 최대 점수를 구함
max_score = 0
due_date = max(assignments, key=lambda x: x[0])[0]  # 가장 늦은 마감일

for day in range(due_date, 0, -1):  # 가장 늦은 마감일부터 역순으로 탐색
    available_assignments = [assignment for assignment in assignments if assignment[0] >= day]
    if available_assignments:
        max_score += max(available_assignments, key=lambda x: x[1])[1]  # 가장 높은 점수의 과제 선택
        assignments.remove(max(available_assignments, key=lambda x: x[1]))  # 선택한 과제 제거

print(max_score)  # 최대 점수 출력 "
일치 여부 확인1,3,"N개의 정수 A[1], A[2], …, A[N]이 주어져 있을 때, 이 안에 X라는 정수가 존재하는지 알아내는 프로그램을 작성하시오.","첫째 줄에 자연수 N(1 ≤ N ≤ 100,000)이 주어진다. 다음 줄에는 N개의 정수 A[1], A[2], …, A[N]이 주어진다. 다음 줄에는 M(1 ≤ M ≤ 100,000)이 주어진다. 다음 줄에는 M개의 수들이 주어지는데, 이 수들이 A안에 존재하는지 알아내면 된다. 모든 정수의 범위는 -231 보다 크거나 같고 231보다 작다.","M개의 줄에 답을 출력한다. 존재하면 1을, 존재하지 않으면 0을 출력한다.","def binary_search(arr, target):
    left = 0
    right = len(arr) - 1
    
    while left <= right:
        mid = (left + right) // 2
        
        if arr[mid] == target:
            return 1
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    
    return 0

# 입력 처리 함수
def process_input():
    N = int(input())  # 정수의 개수
    arr = list(map(int, input().split()))  # 정수 배열
    M = int(input())  # 찾을 정수의 개수
    targets = list(map(int, input().split()))  # 찾을 정수 배열
    
    return N, arr, M, targets

# 메인 함수
def main():
    N, arr, M, targets = process_input()
    
    # 배열 정렬
    arr.sort()
    
    # 각 정수에 대해 이진 탐색하여 존재 여부 확인 후 출력
    for target in targets:
        result = binary_search(arr, target)
        print(result)

if __name__ == ""__main__"":
    main() "
